Salesid,CustomerID,ProductID,OrderID,Quantity,UnitPrice,TotalPrice
1,8876,645,1,6,296.31,1777.86
2,8848,646,2,4,45.13,180.52
3,8020,945,3,2,611.25,1222.5
4,7438,480,4,3,479.05,1437.15
5,6906,346,5,10,929.67,9296.7
6,7620,921,6,6,836.4,5018.4
7,4854,944,7,2,553.96,1107.92
8,9294,544,8,4,898.7,3594.8
9,2102,706,9,6,363.74,2182.44
10,3807,366,10,5,845.27,4226.35
11,9389,240,11,3,271.19,813.57
12,4502,216,12,10,646.67,6466.7
13,5507,633,13,8,588.22,4705.76
14,4257,675,14,8,628.76,5030.08
15,8453,864,15,6,708.56,4251.36
16,8209,378,16,10,459.71,4597.1
17,9434,412,17,9,767.03,6903.27
18,1562,831,18,10,233.77,2337.7
19,4457,725,19,8,438.37,3506.96
20,6739,119,20,10,227.48,2274.8
21,7473,307,21,2,749.51,1499.02
22,5310,677,22,9,832.0,7488.0
23,8009,478,23,2,620.01,1240.02
24,8060,612,24,9,815.21,7336.89
25,5757,560,25,5,281.43,1407.15
26,1568,279,26,8,290.53,2324.24
27,3025,457,27,7,966.56,6765.92
28,9751,915,28,1,69.39,69.39
29,2008,843,29,1,437.16,437.16
30,6079,726,30,5,63.37,316.85
31,4295,558,31,4,714.33,2857.32
32,7161,615,32,2,14.23,28.46
33,4112,957,33,9,165.89,1493.01
34,7166,578,34,3,976.33,2928.99
35,1700,612,35,8,127.84,1022.72
36,8346,216,36,4,178.21,712.84
37,3161,625,37,10,431.84,4318.4
38,2651,590,38,6,965.85,5795.1
39,2149,972,39,3,528.84,1586.52
40,3338,779,40,2,295.26,590.52
41,2631,764,41,3,452.33,1356.99
42,4878,239,42,3,736.12,2208.36
43,7927,664,43,2,163.25,326.5
44,2110,217,44,5,872.29,4361.45
45,2555,317,45,1,186.66,186.66
46,3173,964,46,3,10.55,31.65
47,4078,802,47,8,426.05,3408.4
48,5800,803,48,3,300.37,901.11
49,5193,223,49,6,847.67,5086.02
50,4936,270,50,9,804.96,7244.64
51,6964,328,51,2,13.56,27.12
52,9713,798,52,8,780.32,6242.56
53,1041,956,53,8,331.89,2655.12
54,7935,519,54,1,531.92,531.92
55,8885,137,55,10,553.79,5537.9
56,1151,272,56,6,767.49,4604.94
57,7802,860,57,2,276.98,553.96
58,9688,122,58,4,426.07,1704.28
59,5410,151,59,9,116.52,1048.68
60,6906,291,60,6,590.69,3544.14
61,3188,320,61,3,756.34,2269.02
62,9682,110,62,5,166.12,830.6
63,3249,656,63,3,624.54,1873.62
64,1298,386,64,1,922.6,922.6
65,1514,418,65,5,834.89,4174.45
66,7084,160,66,10,241.95,2419.5
67,8837,178,67,9,560.32,5042.88
68,5790,867,68,9,470.69,4236.21
69,5681,552,69,10,553.53,5535.3
70,6082,239,70,6,99.92,599.52
71,9849,708,71,5,588.8,2944.0
72,2536,656,72,7,577.82,4044.74
73,8844,422,73,9,106.92,962.28
74,6419,332,74,3,926.25,2778.75
75,1002,558,75,1,587.01,587.01
76,7557,747,76,9,691.66,6224.94
77,7089,110,77,4,640.64,2562.56
78,7607,452,78,5,73.95,369.75
79,5290,740,79,7,491.6,3441.2
80,1806,634,80,2,28.33,56.66
81,1629,761,81,7,540.52,3783.64
82,9026,884,82,4,751.79,3007.16
83,6237,460,83,6,505.5,3033.0
84,9014,488,84,2,907.84,1815.68
85,4935,546,85,2,779.14,1558.28
86,6350,857,86,1,332.0,332.0
87,5149,157,87,3,718.58,2155.74
88,4118,169,88,2,700.7,1401.4
89,8419,193,89,9,488.86,4399.74
90,5530,847,90,3,35.85,107.55
91,8535,297,91,3,235.84,707.52
92,4868,967,92,1,553.42,553.42
93,5249,793,93,3,491.52,1474.56
94,1773,962,94,7,116.69,816.83
95,1569,252,95,4,708.78,2835.12
96,4915,582,96,4,946.16,3784.64
97,1340,495,97,9,167.03,1503.27
98,8680,835,98,8,777.37,6218.96
99,2960,988,99,2,760.58,1521.16
100,8542,775,100,8,121.75,974.0
101,3022,417,101,3,863.52,2590.56
102,2070,209,102,2,305.19,610.38
103,1163,693,103,3,461.61,1384.83
104,9037,545,104,9,117.64,1058.76
105,4402,837,105,4,112.05,448.2
106,5609,136,106,7,130.03,910.21
107,3645,577,107,5,181.72,908.6
108,5097,509,108,4,397.84,1591.36
109,3155,333,109,5,996.73,4983.65
110,1657,783,110,5,497.41,2487.05
111,7803,816,111,7,372.25,2605.75
112,4410,535,112,9,390.36,3513.24
113,2449,346,113,6,984.51,5907.06
114,2266,754,114,4,459.47,1837.88
115,2265,385,115,9,437.58,3938.22
116,2585,737,116,10,589.32,5893.2
117,7308,704,117,4,392.52,1570.08
118,9241,433,118,1,156.07,156.07
119,6764,958,119,8,143.21,1145.68
120,1811,981,120,1,704.88,704.88
121,7208,598,121,9,548.86,4939.74
122,5965,723,122,4,935.34,3741.36
123,9199,664,123,4,989.43,3957.72
124,5993,318,124,3,330.75,992.25
125,7180,820,125,2,96.17,192.34
126,4175,118,126,7,902.16,6315.12
127,5026,448,127,9,264.4,2379.6
128,1811,790,128,6,896.88,5381.28
129,8198,766,129,8,886.46,7091.68
130,3403,831,130,1,597.56,597.56
131,1070,396,131,2,607.5,1215.0
132,5422,366,132,7,632.18,4425.26
133,8146,243,133,5,354.0,1770.0
134,1615,552,134,9,116.56,1049.04
135,7713,772,135,9,541.16,4870.44
136,7423,525,136,8,644.71,5157.68
137,2755,714,137,6,584.86,3509.16
138,4460,396,138,8,941.24,7529.92
139,9547,815,139,6,211.97,1271.82
140,3276,572,140,3,916.35,2749.05
141,5054,142,141,4,942.16,3768.64
142,2463,503,142,2,95.27,190.54
143,4658,249,143,10,527.39,5273.9
144,8868,422,144,5,912.08,4560.4
145,7841,729,145,4,691.91,2767.64
146,2870,719,146,5,579.03,2895.15
147,7438,943,147,6,592.22,3553.32
148,6657,144,148,8,878.33,7026.64
149,9559,159,149,1,243.01,243.01
150,1692,116,150,3,777.67,2333.01
151,1443,662,151,6,730.33,4381.98
152,5606,448,152,7,184.52,1291.64
153,7744,332,153,1,706.24,706.24
154,5448,251,154,2,761.29,1522.58
155,4832,874,155,3,102.89,308.67
156,6955,705,156,7,403.13,2821.91
157,7449,130,157,3,275.45,826.35
158,1807,881,158,8,834.09,6672.72
159,3329,368,159,5,32.11,160.55
160,8019,981,160,1,580.54,580.54
161,1973,535,161,8,410.56,3284.48
162,4177,862,162,5,938.77,4693.85
163,9650,571,163,7,630.17,4411.19
164,3801,234,164,4,712.82,2851.28
165,6885,277,165,9,647.98,5831.82
166,1674,997,166,9,481.55,4333.95
167,5301,771,167,9,308.55,2776.95
168,7984,109,168,2,343.25,686.5
169,9386,675,169,3,867.8,2603.4
170,7545,121,170,6,244.45,1466.7
171,2531,686,171,1,38.69,38.69
172,3583,834,172,10,689.01,6890.1
173,1623,556,173,3,406.99,1220.97
174,8515,845,174,10,266.04,2660.4
175,8470,974,175,4,301.2,1204.8
176,5456,374,176,5,444.24,2221.2
177,4419,586,177,9,748.14,6733.26
178,8112,718,178,10,759.87,7598.7
179,7138,667,179,3,869.43,2608.29
180,4389,707,180,1,102.34,102.34
181,5163,554,181,5,256.16,1280.8
182,6116,714,182,7,158.33,1108.31
183,7991,779,183,8,264.8,2118.4
184,8574,446,184,6,63.46,380.76
185,3840,778,185,10,694.91,6949.1
186,5631,157,186,5,18.67,93.35
187,9460,253,187,7,167.23,1170.61
188,8477,768,188,10,102.63,1026.3
189,8772,850,189,7,960.82,6725.74
190,6368,345,190,1,394.72,394.72
191,6205,827,191,7,847.04,5929.28
192,4600,733,192,5,383.0,1915.0
193,7234,201,193,3,251.21,753.63
194,4832,557,194,5,619.53,3097.65
195,3751,704,195,10,415.45,4154.5
196,2985,662,196,7,595.66,4169.62
197,7469,318,197,10,763.77,7637.7
198,7773,461,198,10,927.42,9274.2
199,2071,109,199,6,207.18,1243.08
200,8526,171,200,6,562.78,3376.68
201,7171,747,201,2,347.94,695.88
202,3503,902,202,3,518.68,1556.04
